generated,reference,highlight
"

But in January, the International Olympic Committee ended its ban on the sport and its inclusion in the 2008 Olympic Games.

""The ban only affects the sport and not the sport itself,"" said Gomajawo Kalo, the head of the International Sports Lawyers' Association. ""If the ban was imposed on sport, this would mean a ban on women playing football in the sport.""

In a statement, Namibia's governing body, the International Olympic Committee, said it is ""deeply concerned"" by the decision and its decision to ban football.

""Any ban on football will not promote reconciliation and"," -- As coach of Namibia's national women's football team, Jacqui Shipanga is credited with changing attitudes to the sport.

But to Shipanga football is more than a game -- it's a way to help society and improve the lives of girls around her country.

""I'm the type of coach at this point of time that is more willing to support social change and build and contribute towards nation building and reconciliation, instead of just the end result of what is happening on the pitch,"" she says.

Shipanga recently launched a six-team women's super league in a bid to increase the pool and quality","Jacqui Shipanga is the coach of Namibia's national women's football team. She is using the sport as a tool for social change and to promote unity in the country. For years, it was culturally taboo for girls to play football in Namibia."
"

The man and his wife, who lives in New York, are in custody in New York, and investigators are seeking his whereabouts.

Hoffa, who kept a website in his home, worked for the FBI for 15 years before his capture. He is also a registered sex offender.

The FBI said in a statement: ""We are aware of new information about the man who may be the man who sold his personal baggage to the mobster and his gangster handlers.""

Police said he admitted killing his wife and two young children, ages 4 and 10, in June 2006.

The family is"," -- The FBI on Tuesday spent a second day digging in a Detroit-area field in the latest search for the remains of former Teamsters boss Jimmy Hoffa -- an effort spurred by information from an aging reputed mobster.

Agents began digging Monday in waist-high grass in Oakland Township north of Detroit, a location determined in part from information provided by alleged mobster Tony Zerilli. Media and curious onlookers gathered some distance from the private property.

The search was stopped for the night as evening approached but will resume Wednesday at 8 a.m.

Nothing yet has been found, two law enforcement sources familiar","NEW: Alleged mobster who tipped off police says he hopes his ""good friend"" is exhumed. Search has ended for the night, will resume Wednesday morning. Concrete slabs are removed during the dig, a source says. Hoffa, then 62, was last seen on July 30, 1975, outside a Detroit-area restaurant."
"

Gone Too Fast: Animated TV series called ""The Ridiculously Morturous"" returns, with the role of Jeremy, a lovable youngster in a band of romantics. He tries to find his soul mate, but his circumstances are not good enough for him to find his own.

Out of Compton: Animated TV series called ""The Blonde Bride"" returns, this time with a white-knuckle vivacious couple. Both the boys are on the verge of marriage, and their new neighbors, a young black couple, are living on the outskirts of town.

Out of the Woods:","(Rolling Stone) -- Yes, it's the end of days, something about an asteroid hurtling toward Earth.

In three weeks, boom, it's over. No second chance. Steve Carell plays Dodge, an insurance exec whose wife dumps him for a last fling at life. Unlike his wife and horny buddy (that's you, Patton Oswalt), Dodge doesn't want to go sex-nuts. Dodge goes to work where there's no need to go. Then he hits on the idea of finding his first love.

Filmmaker on 'Seeking a Friend's' origins

Penny","An asteroid is hurtling toward Earth and it's the end of the world in ""Seeking a Friend"". Dodge (Steve Carell), an insurance exec, hits on the idea of finding his first love. Penny, played by Keira Knightley, hits on the idea of going with this stranger. Carell and Knightley give it their bittersweet best."
"

In Brazil, champions Manchester City lose 0-0 at Old Trafford.

The same game against Stoke City, which was played in the west of England, ended with a point for Stoke City.

In Italy, Juventus lose 0-0 at Genoa.

Robinho has admitted he is not happy with the way the game ended.

""The match is a game of football. You have to go to the point where players are aiming to score goals,"" he told reporters.

""I have not enjoyed it as a player. I am happy that I played a football that was good with my"," -- Their Indian owners once talked about pushing Blackburn Rovers into the elite tier of the English Premier League but just 18 months after their takeover, poultry giants Venky's are contemplating relegation.

Monday's 1-0 home defeat to Wigan Athletic condemned the former Premier League champions to the second tier amid angry scenes at their Ewood Park home.

The club's Scottish manager Steve Kean, who has been subjected to abuse by supporters all season, had to be escorted from the pitch by police as a group of fans invaded the playing surface.

After the game Kean insisted he was the man to restore Blackburn's status","Blackburn Rovers are relegated from the English Premier League. Rovers lose 1-0 at home to Wigan Athletic, who secured their top flight status. The match was dominated by protests by Blackburn's fans against club's owners. Many blame Indian firm Venky's and manager Steve Kean for their relegation."
"

The cause of the accident is still being examined and his whereabouts are pending notification by authorities.

The plane was operating in an area near the airport in the town of Digno, about 40 miles (50 kilometers) west of the capital of Rio Novo.

The cause of the accident has not been determined, but it could be linked to the November 24, 2008, accident when an Air France Airbus A380 crashed in the area near France's Rabaul airport, killing all 167 people aboard.

The cause of the accident was not known, but it was believed the plane is in good condition.

"," -- A new search for an American teen who went missing on a mountain in Ecuador turned up no clues, the teen's father said Friday.

August Reiger has been missing since Sunday, when he went on a hike on a mountain overlooking the town of Banos. He was supposed to reunite with his family on the trail, but he was nowhere to be found.

Ecuadorian authorities have been searching for him for days, and on Friday, they once again scoured the mountain where he was last seen.

""There's nothing to tell, really,"" said his father, Chris Reiger. ""We",August Reiger has been missing since Sunday. Another search was conducted Friday where he was last seen. No signs of him have turned up.
"

But a recording of the popular show, ""Juno & Juice Band,"" is a refreshing change of pace for those who love good old-fashioned humor.

""I love to talk about humor and I love to talk about humor and I love to talk about humor,"" said Jason in the video. ""I love humor; I love humor; I love humor. I love humor; I love humor. I love humor; I love humor. I love humor.""

The posts are part of a two-year-old ""Juno & Hip-hop"" competition.

""There's a lot of humor"," -- I've always lived in a world of letters and alphabets. One of my earliest recollections is memorizing every line and curve of the ABC's on a baby blanket my grandparents gave me. I learned to read at an early age, but my favorite books were dictionaries. I wanted no plot, no narrative, just the onrush of one word after another.

This obsessive attention to letters and orthography led me to victory at the 1986 National Spelling Bee. My winning word: odontalgia, which means toothache.

Winning the Bee can lead to all kinds of aches -- headaches","Jon Pennington won the National Spelling Bee in 1986. The bee provided a safe space for smart kids to meet one another. Pennington met Johnny Carson and Ronald Reagan. These days, the topic doesn't come up much."
"

The twins' father, Mark Pendergrass, was admitted to the intensive care unit Monday and is expected to arrive at a hospital in Birmingham about two weeks after the twins were born.

""I've been very concerned about the twins and the family and they are taking very good care of them,"" Pendergrass said.

Basil's grandmother, Mary Malek, has sent a strong message of support to her daughter, who is recovering from an up-and-down year.

""My heartfelt prayers are with her and her family and friends. I hope that she's healed and healed,"" Malek"," -- ""Sometimes you can forget about the preciousness of life,"" hospital spokesman Allen Poston thumbed onto his Blackberry after peering into an operating room where a team of 15 doctors and medical staff separated conjoined twins in six hours in surgery.

Two-month-old twins Preslee and Kylee Wells required surgical separation.

""I'm standing here in the operating room looking at the exposed beating heart of Preslee Wells,"" he wrote as he walked the halls at the Children's Hospital of Oklahoma University Medical Center.

On Monday afternoon, 2-month-old Preslee and her conjoined sister, Kyle","2-month-old Preslee and her conjoined sister, Kylee, were in surgery for 6 hours. They rolled onto their own backs for the first time Monday, spokesman said. Twins are currently being monitored in a hospital's neonatal intensive care unit."
"

Investigators are looking for a person who carried out the illegal trading in methamphetamine and heroin in the town of Orlandes, southwest England. The illegal sales are illegal, the Crown Prosecution Service (CPS) said. The seized cocaine is likely to end up in the hands of criminals.

A person in the area told police he hoped the illegal trade would be traced back to the UK, CNN affiliate TV2 in Perugia, Morocco reported.

A British citizen in Perugia, the resident told police they found the cocaine container and undeclared heroin inside.

Mercier, who is also"," -- Bales of cocaine have been washing up on the beaches of Cornwall.

Frank Partridge and the bale of cocaine he found while out beach-combing with his dog.

The latest was found on Pentreath beach, on the Lizard Peninsula, Britain's southernmost point.

Frank Partridge, 57, a semi-retired electrical engineer, regularly takes his dogs beach-combing. On Monday afternoon, at low tide, he found more than the usual driftwood.

""The dogs went up to the parcel first,"" said Frank. ""I went up and saw what it was. I","Bales of cocaine have been found washed up on beaches in Cornwall, England. Local resident Frank Partridge found a parcel out walking his dog. Parcels contained 50 kilos of cocaine, an estimated street value of $4.96m. People in the region believe it came from a Liberian container vessel."
"

6. New Mexico Gov. Andrew Cuomo was unable to get to the top of the New Mexico Democratic political radar this year.

7. New Mexico Gov. Andrew Cuomo has put his political future at risk.

8. New Mexico Gov. Andrew Cuomo is facing a primary challenge over his plan to curb illegal immigration in his state.

9. New Mexico Gov. Andrew Cuomo is facing a primary challenge over his plan to curb illegal migration in his state.

10. New Mexico Gov. Andrew Cuomo is facing a primary challenge over his plan to curb illegal immigration in his state.

CNN Poll:"," -- Under almost any circumstance, Louisiana politics are hot and spicy.

The race for the Senate seat this year plays to type, and then some: It's an almost guaranteed runoff, to be decided in December. So the answer to the question of who controls the Senate could actually have to wait for Louisiana voters to figure it out.

The stakes are high, yet the contest is a combination of Louisiana dynasty (as in incumbent Democratic Sen. Mary Landrieu, whose wobble dance this month is a viral hit) vs. three term Republican congressman Bill Cassidy (a physician who has focused his message on President Barack Obama's",Democratic Sen. Mary Landrieu is in a tough reelection battle for her seat. Landrieu's Republican opponent is U.S. Rep. Bill Cassidy. There's also another Republcian candidate Rob Maness who's getting 11% of the vote. The race will likely go to a runoff in December.
"

""Some people are in Misrata and they're leaving, and they're not trying to stay, but they're not trying to stay,"" said a Misrata resident named Mohammed Ali. ""So we're starting to see the situation in Misrata and their situation is deteriorating.""

A coalition spokesman said the opposition was not seeking to ""escalate the situation,"" adding that Gadhafi and others were concerned about ""the deteriorating situation.""

The Misrata situation has fueled tensions between Misrata residents and the government, and the government has said the opposition is willing to negotiate.

The rebels"," -- Forces loyal to Libyan leader Moammar Gadhafi went on the attack Tuesday, pushing opposition fighters back to the outskirts of a key oil town, rebels said.

Also Tuesday, world diplomats met in London to discuss the future of the North African nation.

Opposition fighters in Bin Jawad battled Gadhafi forces and came under a hail of artillery and rocket attacks, a rebel source said. CNN saw rebel fighters streaming back out of the city, beating what looked to be a hasty retreat. One said the barrage was too much for the opposition to withstand, and that Gadhafi loyalists had infiltrated Bin","NEW: President Obama does not rule out the option of arming rebel fighters. Opposition fighters retreat from Bin Jawad, regroup in Ras Lanuf. Libyan government says military and civilian locations were bombed in Tripoli. Libyan forces pound Misrata, a witness with the opposition says."
"

""We knew there was money in his pocket. He was out there, we knew he was out there,"" the father says. ""He was tarred and feathered. He was a big boy. He was tall. He was tall. He was tall,"" the father says.

The father, speaking as a family member, later woke to find his wife missing. ""It was a big situation,"" said the father, who is white.

Family members left his ""Cox"" next to their daughter and his sister, ""Mummy,"" and his wife, ""Ruby,"" as they slept. The family"," -- Funeral services for the sons of Josh Powell are scheduled for early Saturday afternoon in Puyallup, Washington, where authorities say Powell set his house on fire, killing all three of them.

Services for 7-year-old Charlie and 5-year-old Braden will be held at the Church of Jesus Christ of Latter-day Saints Stake Center and will be open to the public, according to Anne Bremner, an attorney for the Cox family.

Powell was a suspect in the 2009 disappearance of his wife, Susan Cox-Powell.

His two sons died Sunday along with Powell","NEW: ""He blew up the house and kids!"" shouts the social worker who dropped them off. Service will be open to the public, says an attorney. ""We knew ... he was capable of this,"" missing woman's father says. Josh Powell was a suspect in the 2009 disappearance of his wife, Susan Cox-Powell."
"

Dashboard video of the disaster shows two ships in the water, one of them carrying 40 tons of diesel fuel. The tanker had stopped harboring the diesel fuel, Japanese Coast Guard Capt. James Previter said.

Crews were able to reach the area, but they were unable to reach the landing site because of the water's resistance, he said.

Crews in the Japanese Coast Guard Cutter Sitara and Sitara, Japanese Coast Guard Cmdr. Keiko Sumimoto said, ""there are several smaller ships in the area that could have been affected.""

The Japanese Coast Guard is approaching the"," -- A massive dock, possibly debris from the March 2011 tsunami that struck Japan, has washed ashore in Washington state's Olympic National Park.

A U.S. Coast Guard helicopter spotted the dock Tuesday along a remote section of the park's coast, the Washington State Marine Debris Task Force said.

Authorities were trying to reach the dock by ground Wednesday to determine whether it was tsunami debris and whether it harbors invasive species that could harm the area.

The National Park Service has closed the beach in the area to the public.

The Coast Guard had been searching for the dock since Friday, when a fishing vessel",Dock lands on Olympic National Park beach in Washington state. Park Service closes beach as crews try to reach remote site. Large dock from Japan also washed up in Oregon this year.
"

Last month, Rainey filed a claim against the ""world's most beautiful"" label with the copyright regulator.

The lawsuit names all the names of the girls at Blue Ivy, including Jay-Z and Jay-Z Beyonce, and then includes a list of the names of the ""world's most beautiful.""

The petition says that the names were chosen by the label because they ""represent the wonderful and beautiful American family.""

The lawsuit names Jay-Z and Beyonce, and includes a list of the names of the ""world's most beautiful.""

""The names of the world's most beautiful","(Rolling Stone) -- Jay-Z and Beyoncé can't trademark the name of their daughter, Blue Ivy, the U.S. Patent and Trademark Office has ruled, which means the Boston wedding planner Blue Ivy can continue to use the name.

The superstar couple filed a petition to trademark the name ""Blue Ivy"" shortly after their daughter was born in January, seeking to reserve it for use as a possible brand name for a line of baby-related products, including carriages, diaper bags and baby cosmetics.

Veronica Alexandra, who started Blue Ivy in 2009, filed her own petition to trademark the name",Couple filed a petition to trademark their daughter's name shortly after her January birth. Wedding planner who started Blue Ivy in 2009 filed her own petition to trademark the name. U.S. Patent and Trademark Office ruled Jay-Z and Beyonce can't trademark the name.
" Concerns are raised about safety and security for others.

""The safety of the people of Libya is at stake. MOW and NATO are here to help.""

A U.S. Embassy source said the situation has been ""sudden and unpredictable"" and the situation is ""very complex.""

NATO officials are expected to arrive in Libya around 3:30 p.m. BST after a round-the-clock security detail is notified.

NATO is concerned about the situation in Libya and has raised its concerns with the International Security Assistance Force (ISAF).

""The situation in Libya is"," -- The spotlight is on security -- as well as economic recovery plans -- as leaders from the world's biggest economies gather in Toronto for a pair of summits this weekend.

Leaders have begun arriving for the G-8 summit, which begins Friday, followed by the G-20 summit this weekend.

Security, already a major concern, was thrown into greater focus Thursday when a man with five cans of gas and an array of weapons in his car was arrested near the G-20 site, officials said.

Royal Canadian Mounted Police spokesman Sgt. Marc LaPorte said the 53-year-old driver had","NEW: Suspect in weapons incident charged, due to appear in court Friday. Incident puts focus on security as leaders begin arriving. Items found in car included pellet guns, a cross bow and a chainsaw. No specific signs incident is linked to G-20 summit."
" ""They are a threat to the Russian government,"" he says. He says there are other problems with the participation of the International Olympic Committee. ""The International Olympic Committee has made it clear that they do not want to be part of this. They are not useful in the athletics arena.""

""Today's action is a sign of the times,"" Pesinger says. ""The Russian government has been trying to silence the media and the human rights community. This is a sign of the times.""

Kano, who is looking into the future of the Sochi competition, says the International Olympic Committee is the only national sponsor. He says"," -- ""They tried to forget us, as if we never even lived there,"" says Circassian architect Abdullah Makhmudovic Berisov. Now 67 years old, Berisov speaks about the pain he feels when thinking of the 2014 Olympic Games in Sochi, Russia, and how the opening ceremony failed to mention the history of the Circassian people who once called Sochi their capital.

Berisov is not alone. Circassian artist Sheomir Guchepshoko, 32, says far from being a source of pride, the Sochi Olympics are a tragic reminder of what was lost during the Russian-Circassian war","Focus on Sochi has awakened a push to recognize Circassian genocide, historian says. Circassian history wasn't mentioned in Olympic opening ceremony, one Circassian says. Activists say Russian security forces have used intimidation to try to silence them. Leader of a Circassian council in Maykop says Circassians are not enemies of Russia."
"

The wedding, however, has put him at odds with the world governing body. He's accused of sexually abusing his wife, Tiana Sorlet, and the couple has sued the Peruvian government claiming they were tricked into having sex.

""She didn't say anything,"" Porfirio told the official Telam news agency. ""She was in jail.""

But the situation is not over yet.

BFMTV reported that the couple has filed a lawsuit in the Court of the High Court of Brazil in Rio.

A Brazilian court has issued a injunction, but the injunction is not holding and"," -- Matthew McConaughey tied the knot with longtime girlfriend Camila Alves at an intimate ceremony in Texas.

The pair wed before close friends and family in Austin on Saturday evening.

They started dating in 2006, and the Brazilian model is the mother of his two children.

Last year, McConaughey, 42, said while there were no immediate plans to get married, that did not make them any less committed.

""Maybe one day ... maybe something down the line at the right time,"" he told CNN's Piers Morgan.

""To do that, you have to really feel","The pair weds at a private ceremony in Texas. They started dating in 2006, and the Brazilian model is the mother of his two children."
"

The six-day visit was extended by 10:30 a.m. to include the opening of a Buddhist temple in the town of Yangon.

A huge zoo, including the zoo's zoo, is planned in Yangon.

Briarly the zoo and monastery are open 24 hours a day, seven days a week.

The zoo and monastery hosted an animal-themed zoo in 1998. The zoo's zoo is in the village of Wai Gap, in Yangon.

The zoo and monastery also hosted zoo activities at its zoo.

The zoo is in the village of W"," -- After decades of a military junta rule, the south-east Asian country of Myanmar is opening up, and the government is working hard to welcome a plane loads of visitors from around the world.

Myanmar's turnaround from pariah state to becoming this year's must-see destination has been remarkable. Much of the country is untouched and rich in both historic and architectural heritage.

There is plenty to discover for the tourist who wants to go off the beaten track.

Below CNN takes a look at some of Myanmar's most magnificent treasures.

Shwedagon Pagoda

The golden stupa of","Myanmar is opening up to foreign visitors. There are many ancient treasures and many tourists are now discovering this south-east Asian country. Highlights include the Shwedagon Pagoda, the Colonial buildings in the city of Yangon and Bagan."
"

The similarities between RIM and the C standard may be a good thing, the C Foundation said, but if the similarities are not enough to impress the crowd, there hasn't been enough publicity for years.

So what exactly is the C standard?

""These are very different,"" the C Foundation president said. ""It's a different language. It's much more open.""

The C standard has a ""resolving problem"" that makes it more accessible and easier to understand.

It is the same as the C64 and C64E rules, the C Foundation said.

The ""res","(WIRED) -- The tributes to Dennis Ritchie won't match the river of praise that spilled out over the web after the death of Steve Jobs. But they should.

And then some.

""When Steve Jobs died last week, there was a huge outcry, and that was very moving and justified. But Dennis had a bigger effect, and the public doesn't even know who he is,"" says Rob Pike, the programming legend and current Googler who spent 20 years working across the hall from Ritchie at the famed Bell Labs.

On Wednesday evening, with a post to Google+, Pike announced that","Dennis Ritchie is the father of the C programming language. Ritchie used C to build UNIX, the OS that so much is built on. ""We're all standing on Dennis' shoulders,"" expert says."
"

""Europeans were a lot more optimistic about their economic prospects,"" said Fondeika. ""But we're pessimistic about America.""

Behind all of those optimism, though, there was a caveat. No matter how optimistic, there was always the risk that American surpluses will hamper growth.

""We still have a lot of work to do to avoid the potential of runaway inflation,"" said Fondeika. ""If inflation continues to slow, there will be too much market inflation to paralyze the economy.""

In other words, the euro may not work as it should, Fondeika said."," -- Global tourism ""recovered strongly"" in 2010, spurred by emerging economies in Asia, the Middle East and the Americas, for an overall increase of 6.7 percent, to 935 million international tourist arrivals, the U.N. World Tourism Organization said Monday.

All regions had increased tourist arrivals in 2010 after the 4 percent global decline in tourism in 2009, but Europe and Africa grew more slowly, the Madrid-based UNWTO said in a statement.

""The recovery in international tourism is good news, especially for those developing countries that rely on the sector for much-needed revenue and jobs,"" said Taleb","International tourist arrivals increased 6.7 percent. Emerging economies in Asia, the Middle East and the Americans led the way. Growth in Europe and Africa was slower."
"

The AP report said the ""alleged role of Al Jazeera staff in the disturbances and subsequent disturbances"" carried the ""no-holds-barred"" label.

Al Jazeera is a British-based media outlet that is run by the network's parent company, News International. It reports from inside the country.

Al Jazeera is the network which was known as ""the al Qaeda affiliate in Somalia"" by the U.S. State Department and U.S. State Department.

The report said the ""alleged role of Al Jazeera staff in the disturbances and subsequent disturbances"" carried the ""no"," -- A freelance cameraman covering Egypt's constitutional referendum for The Associated Press has been released on bail, the news agency said Friday.

Hassan Abdullah Hassan was producing video coverage outside a Cairo polling station when police seized him along with his driver, according to an AP report.

His driver, Mohammed Salah Mohammed, was freed Thursday.

""We are pleased that Mr. Hassan has been released on bail, and we hope that any remaining legal questions can be resolved quickly,"" said John Daniszewski, AP's senior managing editor for international news.

""Hassan told AP by phone that he","The AP says Egyptian police released freelance cameraman Hassan Abdullah Hassan on bail. Hassan was covering Egypt's constitutional referendum for the news agency. Hassan told AP the authorities ""wrongly concluded that he was an Al Jazeera employee""."
"

""I'm having a lot of trouble regaining the ability to eat when I'm being too active,"" he said. ""So I miss being on the sidelines, that's not a good thing. I miss being on the court. I miss the defense.""

If you're not eating enough, the decision to eat is an important one. You need to eat something. That's all there is to it.

""I'm upset,"" James said. ""I'm not happy.""

James has a couple of reasons for being upset. He's trying to eat more -- he's trying to do more than"," -- When NBA All-Star Carmelo Anthony announced earlier this month he was just finishing a 15-day fast, it caught even his closest allies off-guard.

Everyone from New York Knicks coach Mike Woodson to teammate Amare Stoudemire said they had no idea Anthony was on a special diet.

Others were skeptical: Could a professional athlete really survive, much less perform, without eating for 15 days?

It turns out, he probably didn't. Anthony cut out meat and carbohydrates but did take in some calories, according to media reports.

Nutritionists say he was pushing his luck,","The NBA's Carmelo Anthony says he's back to eating after a fast. If you're trying a fast, remember to stay hydrated. Don't use fasting as a weight-loss tool, experts say."
"

See more photos of the band

BMI-8-Singer

BMI-8-Singer put together a cult classic TV show series called ""BMI-8-Singer,"" which debuted in the United States in 1991, and lived on in the cult classic format for the next 10 years. The cult classic series lasted for one season, and was promoted to an MTV reality show in 1991, and was subsequently picked up and promoted by the family entertainment empire.

BMI-8-Singer's TV show is credited with introducing the concept of ""BMI-9-Singer,"""," -- ""It was booked as a Kids in the Hall tour, but the stages were too small.""

Kevin McDonald explains -- as only he can -- his current U.S. comedy act with Scott Thompson. They're calling it ""Two Kids, One Hall.""

""They could only fit two-and-a-half of us,"" he says, ""So we fired two-and-a-half, and the other guy didn't want to come as a half. After some contract negotiation, it became Scott and I.""

Longtime fans of the legendary Canadian sketch comedy group know the full cast as also","McDonald and Thompson were part of the Kids in the Hall sketch comedy group. From 1989 to 1995, the Kids in the Hall enjoyed TV success and pop culture fame. Despite being known for sketches, the current tour is stand-up comedy."
" For years, our politicians have had it all wrong. Some of our secretaries and secretaries-general are deportees. Some of our secretaries-general are deportees. But we are so proud of America and we want to do something to help them get out of this terrible situation. What we want is to help them get out of this situation and help them get their lives back to their family and their home countries. The two secretaries-general in question are Tunisian citizen Ahmed Abu Ismael and Ethiopian citizen Isaac Amayad.

CNN: Is your family's situation any different than that of other countries?

Emy","Emy Afalava is a loyal American and decorated veteran.  He was born in American Samoa, a U.S. territory since 1900. He has been subject to American law his whole life and thinks he should be a citizen.

The Constitution would agree.  The Fourteenth Amendment declares that ""All persons born ... in the United States, and subject to the jurisdiction thereof, are citizens of the United States.""

Yet, Afalava has been denied the right to vote because the federal government insists that he is no citizen.  How can it be, in the 21st century, that Americans born on U",Emy Afalava is a loyal American and decorated veteran; he's also an American Samoan. Sam Erman and Nathan Perl-Rosenthal: It is outrageous that he and others like him are denied citizenship.
"

Iran has the ability to build a nuclear-armed nuclear weapons capability. Israel must curb its nuclear program in exchange for a deal that would allow it to build nuclear weapons. Israel must find ways to demonstrate that it can build nuclear weapons and prevent Israel from carrying out a nuclear attack. Israel must demonstrate that it has the capability to build nuclear weapons and prevent Israel from carrying out a nuclear attack.

Iran must demonstrate that it has the ability to build nuclear weapons and prevent Israel from carrying out a nuclear attack. Israel must prove that it has the capabilities to build nuclear weapons and prevent Israel from carrying out a nuclear attack.

"," -- A threatened Israeli attack on Iran's nuclear program carries enormous risks for the Jewish state, including international isolation, retaliation at home and abroad, and steep economic costs.

And that's if it works.

While Israel has the most advanced military in the Middle East -- including a suspected-but-undeclared nuclear arsenal of its own -- Israeli analysts say there's no guarantee that a unilateral strike will roll back an Iranian program it sees as a threat to its survival.

Yet that's the choice observers say the Jewish state may soon face, and some argue the benefits would outweigh the costs military action would incur.",Israel could face isolation and retaliation if it attacks Iran. A successful raid could set back Iran's uranium enrichment effort by several years. Israel must balance the risks and benefits of attacking nuclear sites in Iran.
"

""We are seeing a great deal of resistance to EPA's EPA rule,"" said Robin Shauder, associate director of the Energy and Environment Agency's Office of Environmental Health and Environment. ""The EPA continues to need to address these issues.""

The EPA had set its final EPA recommendation of 0.8% for mercury and 0.8% for PCBs by October.

By February, EPA officials had set their final recommendation of 0.8% and 0.8% mercury by the end of the year, with a recommendation of 0.8%.

The EPA's decision came after the EPA's June report"," -- The Environmental Protection Agency recently finalized a rule that for the first time requires U.S. coal and oil-fired power plant operators to limit emissions of mercury and other hazardous air pollutants.

EPA rules in place under the 1990 Clean Air Act have targeted acid rain and smog-forming chemicals emitting from power plants. But perhaps surprising to many, those rules have never included limits on mercury, a neurotoxin known to damage developing fetuses and children.

How this policy affects your health

The benefits of this new rule, in terms of dollars saved and death prevented, far outweigh the costs to companies and consumers, according","The new limits are projected to prevent 130,000 cases of asthma, 6,300 cases of bronchitis. Methylmercury, found in fish and shellfish, can harm a child's thinking, language. The new EPA rule also limits emissions of hazardous air pollutants like arsenic, benzene."
"

Deliberations to find victims and contact witnesses, according to police, continued after 11:15 a.m. Monday, according to an affidavit.

An additional man, who police say had been with the man described as Rodriguez, pleaded guilty in October to suspects in a drug gang killing. Another man, Daniel Edwards, had pleaded guilty to charges in the August 2008 killings of 17-year-old Jaycee Parker and two other teens at a drug-dealer's home in Los Angeles County.

Two other defendants indicted in the case were indicted in a separate drug-dealer shooting case, authorities said"," -- A Mexican man who was allegedly killed on orders from his own cartel believed they were hunting for him after he began working as an informant and was fearful for his life, according to court documents.

Police say soldier Michael Jackson Apodaca, 18, acted as the gunman.

Jose Daniel Gonzalez Galeana began to worry after he began working as an informant for immigration officials in the United States.

""The victim was concerned for his own well-being and the safety of his family,"" the documents said, referencing statements the victim made to a witness.

When Immigration and Customs Enforcement officials gave Gonzalez a visa so","Police say victim believed if cartel found him, he would be killed. Documents: Suspect tried to find victim by paying his phone bill. Soldier Michael Jackson Apodaca, 18, was one of three men arrested Monday. Other suspects include Ruben Rodriguez Dorado and Christopher Andrew Duran."
"

Emanuel: His speech at the Brookings Institution last month shows how France can expand its prosperity.

""France is a country in the midst of a transformative period,"" the president said. ""With its young people, its rich and strong championing its rich traditions, France is becoming a new model for global leadership.""

France is a businessman. He is a businessman, and France is a businessman.

Obama: France is a business traveler. He is a business traveler.

Emanuel: France is a business traveler. He is a business traveler.

Emanuel: France is a business traveler."," -- President Obama extended a political olive branch to the GOP on Tuesday, nominating Sen. Judd Gregg, R-New Hampshire, to head the Commerce Department.

GOP Sen. Judd Gregg accepted President Obama's nomination as commerce secretary Tuesday.

""Clearly, Judd and I don't agree on every issue, most notably who should've won the [presidential] election,"" Obama joked in announcing the nomination, ""but we do agree on the urgent need to get American businesses and families back on their feet.""

Gregg will be an ""able, persuasive ambassador for industry"" because he is a skillful negotiator and a ""","NEW: Bonnie Newman, Gregg's former chief of staff, to be picked to replace him. President Obama calls Gregg a ""master of reaching across the aisle"". Sen. Gregg lauds Obama's ""bold and aggressive"" plan to get country moving. Gregg's selection marks the third Republican nomination to Obama's Cabinet."
"

The result means a game against Milan, which has just the second game in its history, and will be the first time they vie for the Champions League.

Mario Balotelli's heroics were enough to give his team a point

Mario Balotinho's heroics were enough to give his team a point

Mario Balotinho's heroics were enough to give his team a point

Mario Balotinho's heroics were enough to give his team a point

Mario Balotinho's heroics were enough to give his team a point

Mario Balotinho's heroics"," -- Barcelona coach Pep Guardiola has hailed Manchester United as ""extraordinary"" after Alex Ferguson's side all but secured the English Premier League title with a 2-1 victory over nearest challengers Chelsea on Sunday.

Guardiola, whose Barca side will face United in the Champions League final at Wembley on May 28, told reporters: ""They have a great team, extraordinary players.""

Guardiola, who was at Old Trafford to see United beat German side Schalke 4-1 in the second leg of their Champions League semifinal last week, added: ""They played a Champions League semifinal with a team full of reserves and","Pep Guardiola calls Manchester United ""extraordinary"" after their 2-1 win over Chelsea. Guardiola's Barcelona side will face United in the Champions League final at Wembley. United need just one point from two games to claim their 19th league title."
"

""I want to promote my beverage and beverage design and innovation,"" she said. ""I want to create a strong brand that is cool and strong.""

Her focus is on the quality of wine, wine and wine wine.

The company has sold more than 15 million bottles of its alcoholic beverage products, according to its website.

One of the biggest critics of the beverage movement is the beverage business and its founder, Haddad Shour.

""I hope that a new generation of creators find the essence of the beverage business in wine and I hope that the beverage business will tire of its reputation for"," -- She ventured where few before her had dared, taking on a decades-long business monopoly and overcoming gender stereotypes to become a major player in her country's lucrative drinks industry.

As chief executive of Keroche Breweries, Tabitha Karanja has paved the way for many other female entrepreneurs in Kenya, a country where women are traditionally scarce in the boardrooms, and even rarer in million-dollar startups.

Against all odds, the 48-year-old entrepreneur has painstakingly turned the first Kenyan-owned brewery into a lucrative business. In the process, she had to succeed where others had tried and failed",Tabitha Karanja is the chief executive of Keroche Breweries. The company is the first Kenyan-owned beer manufacturer. Karanja calls for a change in culture to help create more female entrepreneurs.
